id_run,id_timestamp,id_repeat,prj_name,mth_name,mth_version,mth_chars,mth_param_definition_of_done,mth_param_constraint_order,mth_param_doc_types,mth_param_review_rounds,mth_param_gate_style,mth_param_phase_budget,mth_param_retry_policy,cfg_campaign,cfg_engine,cfg_cli_version,cfg_model,cfg_effort,cfg_provider,cfg_endpoint,cfg_effort_enforced,cfg_bound,cfg_user_claude_md,cfg_review_pass,cfg_review_model,cfg_fix_model,cfg_review_prompt,cfg_review_weight,cfg_tools,res_score_baseline,res_score,res_score_holdout,res_bestof_n,res_bestof_min,res_bestof_max,res_verification_passed,res_verification_error,res_verification_exit,res_review_findings,res_review_issues,res_review_actionable,res_review_fixed,res_review_error,res_tests_tampered,res_files_added,res_files_added_src,res_diff_lines,res_lines_added,res_lines_removed,res_artifacts,res_subtype,res_hit_turn_cap,res_subagents_spawned,res_permission_denials,res_model_served,res_sloc,res_sloc_baseline,res_sloc_delta,res_chars,res_complexity,res_mi,res_parsimony_factor,res_max_func_sloc,res_max_nesting,res_lint_errors,res_docstring_cov,res_comment_density,tk_input,tk_output,tk_thinking,tk_cache_write,tk_cache_read,tk_cost_usd,tk_bestof_cost_usd,tk_review_input,tk_review_output,tk_review_cache_write,tk_review_cache_read,tk_review_cost_usd,tk_fix_input,tk_fix_output,tk_fix_cache_write,tk_fix_cache_read,tk_fix_cost_usd,prf_turns,prf_duration_s,prf_review_s,prf_fix_s,cfg_entry_file,res_stop_reason,res_error_name,res_error_status,res_tool_calls,res_subagents_failed,res_subagents_refused,res_web_searches,res_context_window,res_service_tier,prf_api_s,prf_ttft_s,res_syntax_ok,res_syntax_error,res_collection_errors,sc_duration,sc_turns,sc_output,sc_cost_usd,sc_mi,sc_max_nesting,sc_max_func_sloc,sc_effort,sc_quality,sc_overall_mean,sc_overall_ratio,cfg_walltime_s,cfg_free_ram_gb
run_m48_syntax_gate_p02_python_medium_20260912_195205_r01,20260912_195205,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.8490,1.0000,,,,true,false,0,,,,,,false,0,0,65,56,9,,success,false,,,,66,29,37,3070,24,35.4,0.849,17,5,0,100.0,15.2,101040,2835,2790,0,0,0,,,,,,,,,,,,11,2622.9,,,AGENTS.md,stop,,,10,,,,,,,,true,,0,0.28705,0.55963,0.55841,,0.78381,0.79689,0.65304,0.46836,0.74458,0.60647,0.73298,,
run_m48_syntax_gate_p02_python_medium_20260912_211946_r01,20260912_211946,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e02_claude_sonnet_5,claude,2.1.267 (Claude Code),claude-sonnet-5,medium,anthropic,native,true,usd,absent,none,,,,,default,0.0000,0.9420,1.0000,,,,true,false,0,,,,,,false,0,0,38,29,9,,success,false,0,0,claude-sonnet-5,49,29,20,2141,21,39.3,0.942,13,4,0,100.0,0.0,10,1568,15,15192,170934,0.11202680000000001,,,,,,,,,,,,7,23.3,,,CLAUDE.md,end_turn,,,,0,0,0,1000000,standard,22.8,3.01,true,,0,0.95926,0.67639,0.70050,0.95691,1.00000,1.00000,1.00000,0.77872,1.00000,0.88936,1.16193,,
run_m48_syntax_gate_p02_python_medium_20260912_212019_r01,20260912_212019,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.8630,1.0000,,,,true,false,0,,,,,,false,0,0,50,41,9,,success,false,,,,61,29,32,2345,26,36.0,0.863,13,5,0,100.0,0.0,343180,3000,6737,0,0,0,,,,,,,,,,,,26,1633.2,,,AGENTS.md,stop,,,25,,,,,,,,true,,0,0.35447,0.33743,0.54484,,0.81858,0.79689,1.00000,0.41225,0.87182,0.64204,0.83518,,
run_m48_syntax_gate_p02_python_medium_20260912_214741_r01,20260912_214741,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e07_local_qwen3_4b,opencode,1.18.30,litellm/qwen3-4b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.8293,1.0000,,,,false,false,1,,,,,,false,0,0,77,51,26,,success,false,,,,60,29,31,1937,25,36.4,0.873,15,6,0,0.0,0.0,22882,743,8262,0,0,0,,,,,,,,,,,,2,1439.3,,,AGENTS.md,stop,,,1,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p02_python_medium_20260912_221151_r01,20260912_221151,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e08_local_qwen3coder_30b,opencode,1.18.30,litellm/qwen3-coder-30b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,APIError,,,,,29,29,0,1335,9,52.5,1.0,3,2,0,100.0,0.0,,,,,,,,,,,,,,,,,,,263.0,,,AGENTS.md,,APIError,500,,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p02_python_medium_20260912_223245_r01,20260912_223245,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.9020,1.0000,,,,true,false,0,,,,,,false,0,0,51,42,9,,success,false,,,,57,29,28,2516,22,37.6,0.902,16,5,0,100.0,8.8,69589,1829,1456,0,0,0,,,,,,,,,,,,8,668.2,,,AGENTS.md,stop,,,7,,,,,,,,true,,0,0.48165,0.64190,0.66356,,0.90853,0.79689,0.73145,0.59570,0.81229,0.70399,0.85311,,
run_m48_syntax_gate_p02_python_medium_20260912_224403_r01,20260912_224403,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e07_local_qwen3_4b,opencode,1.18.30,litellm/qwen3-4b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.9350,1.0000,,,,true,false,0,,,,,,false,0,0,70,42,28,,success,false,,,,51,29,22,1685,21,39.0,0.935,14,6,0,0.0,0.0,22406,532,7978,0,0,0,,,,,,,,,,,,2,1309.6,,,AGENTS.md,stop,,,1,,,,,,,,true,,0,0.38589,1.00000,0.95984,,0.98415,0.63093,0.90415,0.78191,0.83974,0.81083,0.97753,,
run_m48_syntax_gate_p02_python_medium_20260912_230600_r01,20260912_230600,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e08_local_qwen3coder_30b,opencode,1.18.30,litellm/qwen3-coder-30b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.0000,0.0000,,,,false,false,1,,,,,,false,0,0,0,0,0,,APIError,,,,,29,29,0,1335,9,52.5,1.0,3,2,0,100.0,0.0,,,,,,,,,,,,,,,,,,,286.2,,,AGENTS.md,,APIError,500,,,,,,,,,true,,0,,,,,,,,,,,,,
run_m48_syntax_gate_p02_python_medium_20260913_015412_r01,20260913_015412,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e06_local_gptoss_20b,opencode,1.18.30,litellm/gpt-oss-20b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.8820,1.0000,,,,true,false,0,,,,,,false,0,0,51,42,9,,success,false,,,,60,29,31,2512,23,36.8,0.882,16,4,0,100.0,3.3,173542,2443,2001,0,0,0,,,,,,,,,,,,17,818.6,,,AGENTS.md,stop,,,16,,,,,,,,true,,0,0.45276,0.44718,0.59411,,0.86404,1.00000,0.73145,0.49802,0.86516,0.68159,0.86430,,
run_m48_syntax_gate_p02_python_medium_20260913_020759_r01,20260913_020759,1,p02_python_medium,m48_syntax_gate,m48_syntax_gate.v1,903,strict,first,none,,,,,.llm_config.e07_local_qwen3_4b,opencode,1.18.30,litellm/qwen3-4b,medium,litellm,native,false,walltime,absent,none,,,,,unenforced:default,0.0000,0.9300,1.0000,,,,true,false,0,,,,,,false,0,0,67,41,26,,success,false,,,,50,29,21,1696,23,38.8,0.93,15,6,0,0.0,0.0,23389,450,8627,0,0,0,,,,,,,,,,,,2,1825.4,,,AGENTS.md,stop,,,1,,,,,,,,true,,0,0.33863,1.00000,1.00000,,0.97351,0.63093,0.81492,0.77954,0.80645,0.79300,0.93748,,
